"","x"
"2162",0
"2163",3
"2164",4
"2165",2
"2166",3
"2167",1
"2168",0
"2169",0
"2170",6
"2171",4
"2172",5
"2173",2
"2174",2
"2175",0
"2176",4
"2177",0
"2178",3
"2179",3
"2180",3
"2181",0
"2182",4
"2183",4
"2184",5
"2185",0
"2186",0
"2187",4
"2188",0
"2189",2
"2190",1
"2191",3
"2192",0
"2193",1
"2194",1
"2195",2
"2196",1
"2197",4
"2198",0
"2199",1
"2200",0
"2201",4
"2202",3
"2203",4
"2204",0
"2205",2
"2206",5
"2207",5
"2208",2
"2209",3
"2210",5
"2211",4
"2212",5
"2213",4
"2214",3
"2215",2
"2216",3
"2217",0
"2218",5
"2219",1
"2220",5
"2221",2
"2222",0
"2223",2
"2224",2
"2225",0
"2226",1
"2227",2
"2228",3
"2229",5
"2230",1
"2231",3
"2232",0
"2233",3
"2234",2
"2235",3
"2236",4
"2237",2
"2238",3
"2239",6
"2240",5
"2241",0
"2242",1
"2243",0
"2244",0
"2245",3
"2246",0
"2247",4
"2248",1
"2249",3
"2250",3
"2251",1
"2252",2
"2253",3
"2254",2
"2255",0
"2256",3
"2257",1
"2258",6
"2259",2
"2260",3
"2261",4
"2262",0
"2263",6
"2264",4
"2265",4
"2266",0
"2267",1
"2268",4
"2269",5
"2270",3
"2271",1
"2272",0
"2273",5
"2274",0
"2275",5
"2276",0
"2277",5
"2278",3
"2279",1
"2280",4
"2281",4
"2282",0
"2283",0
"2284",3
"2285",3
"2286",1
"2287",3
"2288",0
"2289",0
"2290",1
"2291",1
"2292",1
"2293",1
"2294",4
"2295",1
"2296",0
"2297",4
"2298",2
"2299",5
"2300",4
"2301",3
"2302",0
"2303",4
"2304",4
"2305",5
"2306",4
"2307",4
"2308",6
"2309",1
"2310",3
"2311",5
"2312",3
"2313",5
"2314",1
"2315",4
"2316",0
"2317",1
"2318",2
"2319",1
"2320",4
"2321",2
"2322",1
"2323",0
"2324",1
"2325",1
"2326",0
"2327",1
"2328",2
"2329",3
"2330",4
"2331",2
"2332",2
"2333",5
"2334",0
"2335",3
"2336",4
"2337",2
"2338",1
"2339",1
"2340",6
"2341",4
"2342",0
"2343",2
"2344",4
"2345",0
"2346",3
"2347",2
"2348",0
"2349",1
"2350",4
"2351",3
"2352",5
"2353",6
"2354",2
"2355",0
"2356",0
"2357",3
"2358",0
"2359",0
"2360",3
"2361",1
"2362",4
"2363",1
"2364",3
"2365",1
"2366",4
"2367",3
"2368",0
"2369",3
"2370",2
"2371",0
"2372",3
"2373",5
"2374",0
"2375",0
"2376",0
"2377",0
"2378",0
"2379",4
"2380",1
"2381",3
"2382",3
"2383",3
"2384",4
"2385",4
"2386",3
"2387",0
"2388",4
"2389",2
"2390",2
"2391",1
"2392",1
"2393",1
"2394",4
"2395",4
"2396",2
"2397",4
"2398",2
"2399",4
"2400",0
"2401",0
"2402",4
"2403",4
"2404",6
"2405",0
"2406",1
"2407",1
"2408",3
"2409",5
"2410",0
"2411",4
"2412",5
"2413",1
"2414",3
"2415",3
"2416",1
"2417",4
"2418",2
"2419",2
"2420",0
"2421",3
"2422",1
"2423",0
"2424",0
"2425",3
"2426",4
"2427",3
"2428",0
"2429",3
"2430",1
"2431",4
"2432",5
"2433",7
"2434",3
"2435",4
"2436",4
"2437",4
"2438",0
"2439",1
"2440",2
"2441",4
"2442",0
"2443",0
"2444",1
"2445",3
"2446",1
"2447",0
"2448",1
"2449",0
"2450",4
"2451",0
"2452",1
"2453",1
"2454",4
"2455",0
"2456",1
"2457",5
"2458",0
"2459",5
"2460",0
"2461",0
"2462",6
"2463",2
"2464",4
"2465",3
"2466",0
"2467",4
"2468",4
"2469",3
"2470",0
"2471",3
"2472",1
"2473",0
"2474",5
"2475",4
"2476",3
"2477",2
"2478",4
"2479",5
"2480",5
"2481",3
"2482",3
"2483",0
"2484",0
"2485",1
"2486",2
"2487",3
"2488",0
"2489",5
"2490",1
"2491",4
"2492",4
"2493",1
"2494",1
"2495",1
"2496",3
"2497",2
"2498",4
